# O3400-0m/s (Up to date)
# 2068 data points written for 2 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (32.6 m/s):  ""Drouge Chute"""
#   Recovery device deployment at high speed (26.8 m/s):  ""Main Chute"""

# Mach number (​), Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,1.75017293
0.00023807,1.49611139
0.00137769,0.94146139
0.0034689,0.77537097
# Event LIFTOFF occurred at t=0.04 seconds
0.00651222,0.68942289
0.01101014,0.63008495
0.0149975,0.59941589
0.0190045,0.57776565
0.02303112,0.56126748
0.02707736,0.54806584
0.03073577,0.53814769
0.03480604,0.52875622
0.03886938,0.5206912
0.04292574,0.51365295
0.04697513,0.50743082
0.0510175,0.50187149
0.05505284,0.49686019
0.05908113,0.4923089
0.06310234,0.48814879
0.06671537,0.48469362
0.07072748,0.48113078
0.07474124,0.47782065
0.07875665,0.47473395
0.0827737,0.47184613
0.08679238,0.46913643
0.09081268,0.46658713
0.0948346,0.46418301
0.09885814,0.46191093
0.10288327,0.4597594
0.10691001,0.45771841
0.11093833,0.45577913
0.11496823,0.45393375
0.11899972,0.45217534
0.12303276,0.45049773
0.12706738,0.44889537
0.13110354,0.44808998
0.13514123,0.44821843
0.13918043,0.44835054
0.14322113,0.44848633
0.14726455,0.44862586
0.1513119,0.44876918
0.15536318,0.44891631
0.15941837,0.44906727
0.16347747,0.44922207
0.16754048,0.44938074
# Event LAUNCHROD occurred at t=0.45 seconds
0.17160739,0.44954328
0.17771509,0.44979442
0.18689303,0.45018768
0.20069666,0.45081522
0.22122701,0.45182922
0.24185266,0.45294577
0.2625727,0.45416704
0.2833861,0.45549525
0.30429183,0.45693273
0.32528876,0.45848189
0.3463757,0.46014529
0.3675514,0.46192564
0.38615187,0.46358163
0.40750733,0.46559083
0.42898177,0.46772958
0.45057381,0.47000213
0.47228201,0.47241311
0.49410481,0.47496764
0.51604054,0.47767143
0.53808738,0.48053088
0.56024335,0.48355329
0.58250632,0.48674703
0.60487398,0.49012185
0.62734386,0.49368926
0.64991334,0.49746306
0.67257956,0.50146003
0.69533942,0.50570092
0.71818954,0.51021193
0.74112621,0.51502682
0.76414541,0.52019018
0.78724266,0.52576257
0.81041287,0.53182894
0.83365022,0.53851345
0.85694792,0.54600662
0.88029766,0.55462016
0.90368958,0.5635728
0.92713369,0.56610054
0.93229963,0.56667681
0.94004837,0.56755426
0.95166234,0.56907989
0.96905791,0.57305532
0.9924314,0.57852178
1.01574344,0.58027522
1.03901065,0.58039594
1.0622331,0.57873096
1.08542564,0.57547313
# Event SIM_WARN occurred at t=2.554 seconds: Body calculations may not be entirely accurate at supersonic speeds.
1.10858855,0.57185945
1.1317272,0.56748414
1.15484224,0.56327127
1.17793243,0.55921172
1.20099643,0.55526806
1.22403591,0.5508266
1.24705246,0.54651426
1.2620581,0.54376693
1.28449545,0.53974931
1.307288,0.53577435
1.32994612,0.53192422
1.35246878,0.52819293
1.37485497,0.52457598
1.39710369,0.52106745
1.41921821,0.5168017
1.44120423,0.5125097
1.46306173,0.50831699
1.48479047,0.50421984
1.50639023,0.50021472
1.52786085,0.49629838
1.54920217,0.49246772
1.57041409,0.48871987
1.59149651,0.48505209
1.60075795,0.48344485
1.6144346,0.48086485
1.63421078,0.47717419
1.65323077,0.47366863
1.67134499,0.47036914
1.68855055,0.46726949
1.70484446,0.46436429
1.72022369,0.46164862
1.73468509,0.45911804
1.74822541,0.4567704
1.76084132,0.45460016
1.76779533,0.45341082
1.77786695,0.45169693
1.78904448,0.44980677
1.79990884,0.44798144
1.81045989,0.44621983
1.82069749,0.44452086
1.83062145,0.44288353
1.83625304,0.44195855
1.8442873,0.44064402
1.85267046,0.43927862
1.86017756,0.43806135
1.86680745,0.43699032
1.87255962,0.43606393
1.87743352,0.43528087
1.88142851,0.43464003
1.88423583,0.43418996
1.88678925,0.43378056
1.88890027,0.43344194
1.89056954,0.43317375
1.89179762,0.4329757
1.89258507,0.43284755
1.89293241,0.43278913
1.89284012,0.43280033
1.89230864,0.43288109
1.8913384,0.4330314
1.88992976,0.43325134
1.88808242,0.43354132
1.88569512,0.43391736
1.88301003,0.43434149
1.88000295,0.43481766
1.87667461,0.43534603
1.87302571,0.43592678
1.86905692,0.43656014
1.86476891,0.43724636
1.8601623,0.43798574
1.8552377,0.43877861
1.8499957,0.43962531
1.84443686,0.44052625
1.83856174,0.44148185
1.83237084,0.44249258
1.82586468,0.44355896
1.82533059,0.44364669
1.82452458,0.44377913
1.82330304,0.44397999
1.82144252,0.44428621
1.81858834,0.44475666
1.81416456,0.44548751
1.80720807,0.44664095
1.79913192,0.44798623
